geo,Cluster
IT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LT,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LU,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
LV,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MK,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
MT,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NL,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
NO,0
PL,1
PL,1
PL,1
PL,1
PL,1
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PL,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
PT,0
RO,1
RO,1
RO,1
RO,1
RO,1
RO,1
RO,1
RO,1
RO,1
RO,1
RO,0
RO,0
RO,0
RO,0
RO,1
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RO,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,1
RS,1
RS,1
RS,1
RS,0
RS,0
RS,0
