geo,TIME_PERIOD,AFC,DL,FC_E,FC_IND_E,FC_OTH_E,FC_TRA_E,GEP,GEP_MAPCHP,GEP_MAPE,GHP,GHP_MAPCHP,PIB_real_MEUR,PIB_real_NAC,PIB_growth_pct,EMI_CH4,EMI_CH4_CO2E,EMI_CO2,EMI_GHG,EMI_N2O,EFF_PEC_EED,CONS_ELECT_ANNUAL,TRANS_AC,TRANS_BUS_TOT,TRANS_CAR,TRANS_SEAV,TRANS_TRN
AL,1990,450757.501,16885.012,391583.107,133143.887,207576.502,50862.72,48434.335999999996,1836.904,46597.432,1837.948,1837.948,,,,,,,,,,,,,,,
AL,1991,307164.393,12447.938,288940.108,85605.784,164844.688,38489.633,55079.062,1237.1,53841.962,1228.772,1228.772,,,,,,,,,,,,,,,
AL,1992,217728.592,13551.132000000001,205328.939,50839.117,124880.64600000001,29609.176,48499.938,693.524,47806.414000000004,687.28,687.28,,,,,,,,,,,,,,,
AL,1993,195823.472,15983.091,186007.159,37592.234,111433.136,36981.789,50618.006,880.9639999999999,49737.039,879.92,879.92,,,,,,,,,,,,,,,
AL,1994,207039.769,17645.074,185311.988,33604.68,105024.49100000001,46682.82,56199.012,693.524,55505.488,697.692,697.692,,,,,,,,,,,,,,,
AL,1995,194475.401,22039.574,187208.477,35454.414,105408.635,46345.43,64141.757,1105.892,63035.865,1103.812,1103.812,5279.9,653491.0,,,,,,,,,,,,,
AL,1996,201806.22100000002,27635.824,197211.161,35721.854999999996,115564.576,45924.731999999996,85294.289,1049.6599999999999,84244.629,1051.7440000000001,1051.7440000000001,5667.2,701433.3,7.3,,,,,,,,,,,,
AL,1997,164613.048,27829.773,160742.644,18626.465,105461.364,36654.815,74432.178,824.732,73607.446,817.444,817.444,5003.5,619284.4,-11.7,,,,,,,,,,,,
AL,1998,183953.874,30444.131,180315.353,28392.072,97836.608,54086.676,72703.05,768.5,71934.55,770.584,770.584,5419.3,670747.1,8.3,,,,,,,,,,,,
AL,1999,301967.029,13499.001,281772.657,51402.617,129583.955,100786.08600000001,77000.098,599.808,76400.29000000001,1280.838,593.56,6083.2,752918.5,12.3,,,,,,,,,,,,
AL,2000,301523.93,12642.254,285638.234,50193.546,129922.651,105522.041,68031.12299999999,749.756,67281.367,1192.322,754.9639999999999,6537.2,809107.7,7.5,,,,,,,,,,,,
AL,2001,313063.23,12910.59,295340.023,53739.723,130686.25899999999,110914.04400000001,53256.212999999996,712.268,52543.945,1286.04,718.516,7116.6,880824.8,8.9,,,,,,,,,,,,
AL,2002,353650.104,9925.632,341833.545,38185.563,175745.78,127902.2,53607.665,974.684,52632.978,1379.76,978.848,7446.0,921592.9,4.6,,,,,,,,,,,,
AL,2003,337449.892,13659.216,332545.004,45482.2,148950.10700000002,138112.694,70678.70300000001,0.0,70678.70300000001,0.0,0.0,7843.1,970743.9,5.3,,,,,,,,,,,,
AL,2004,390337.235,6091.933999999999,369966.023,45088.935,159433.475,165443.613,79464.92499999999,0.0,79464.92499999999,0.0,0.0,8256.2,1021865.8,5.3,,,,,,,,,,,,
AL,2005,387815.237,5923.441000000001,353499.26399999997,39224.532,143371.061,170903.67599999998,76845.461,0.0,76845.461,0.0,0.0,8679.8,1074295.9,5.1,,,,,,2.13,,,,,,
AL,2006,351799.505,23523.191,335006.331,51631.509999999995,144665.627,138709.197,78091.934,0.0,78091.934,0.0,0.0,9202.2,1138957.6,6.0,,,,,,2.05,,,,,,
AL,2007,336753.55700000003,19786.521,330164.069,50191.371,129715.04699999999,150257.65600000002,40543.138999999996,0.0,40543.138999999996,0.0,0.0,9800.4,1212990.9,6.5,,,,,,1.93,,,,,,
AL,2008,355025.447,13711.19,335768.58999999997,42305.712,130969.598,162493.28,53378.049,0.0,53378.049,0.0,0.0,10477.3,1296772.9,6.9,,,,,,2.05,,,,,,
AL,2009,378799.738,11500.510999999999,350469.977,53718.061,132263.495,164488.42,73134.161,0.0,73134.161,0.0,0.0,10759.2,1331665.9,2.7,,,,,,2.01,,,,,,
AL,2010,383799.774,8978.94,360162.88800000004,67560.593,132860.255,159742.043,106395.27900000001,0.0,106395.27900000001,0.0,0.0,11079.1,1371258.3,3.0,,,,,,2.04,,,,,,
AL,2011,382951.474,12195.172999999999,372475.436,72924.602,132130.906,167419.931,59193.356,0.0,59193.356,0.0,0.0,11352.0,1405039.5,2.5,,,,,,2.2,4.912183333333333,,,,,
AL,2012,341392.097,10487.234,335534.331,48973.612,125895.786,160664.936,66423.831,0.0,66423.831,0.0,0.0,11463.7,1418866.8,1.0,,,,,,1.99,4.911144444444444,,,,,
AL,2013,395983.456,18256.595999999998,362108.911,48009.72,138817.574,175281.62,97829.29800000001,0.0,97829.29800000001,0.0,0.0,11659.4,1443090.1,1.7,,,,,,2.2,4.9106,,,,,
AL,2014,407066.275,10487.234,386571.202,67126.423,137644.28399999999,181800.503,66415.974,0.0,66415.974,0.0,0.0,11920.6,1475418.2,2.2,,,,,,2.26,4.911899999999999,,,,,
AL,2015,389045.908,11714.962,371260.05700000003,53345.289000000004,137134.449,180780.31600000002,82871.637,0.0,82871.637,0.0,0.0,12186.2,1508286.2,2.2,,,,,,2.12,3.458238888888889,,,,,
AL,2016,384717.35599999997,20059.73,361310.252,49821.667,130000.898,181487.691,109394.80500000001,0.0,109394.80500000001,0.0,0.0,12662.6,1567244.0,3.9,,,,,,2.17,3.4605888888888887,,,,,
AL,2017,404402.393,13296.664,395965.336,75916.477,138701.46600000001,181347.39299999998,63628.812000000005,0.0,63628.812000000005,0.0,0.0,13078.3,1618698.4,3.3,,,,,,2.34,3.4576000000000002,,,,,
AL,2018,410953.235,11499.617999999999,407077.929,86926.945,138745.193,181405.788,120244.509,0.0,120244.509,0.0,0.0,13558.4,1678127.3,3.7,,,,,,2.35,3.4591222222222218,,,,,
AL,2019,399025.097,10938.958,388477.755,66746.802,139772.842,181958.112,73186.312,0.0,73186.312,0.0,0.0,13838.1,1712740.0,2.1,,,,,,2.31,3.4601055555555558,,,,,
AL,2020,373267.822,9361.794,340968.504,70776.558,138687.427,131504.522,74692.242,0.0,74692.242,0.0,0.0,13379.5,1655984.6,-3.3,,,,,,2.15,3.458177777777778,,,,,
AL,2021,383988.951,13579.537,375145.195,83575.60800000001,143913.573,147656.015,125997.361,0.0,125997.361,0.0,0.0,14579.6,1804518.9,9.0,,,,,,2.26,3.4578444444444445,,,,,
AL,2022,371973.52,9657.305,364141.67,77930.196,139154.563,147056.912,98442.831,0.0,98442.831,0.0,0.0,15283.3,1891619.4,4.8,,,,,,2.17,3.458861111111111,,,,,
AL,2023,361587.646,11335.161,348308.091,72123.135,135361.30800000002,140823.65,126606.155,0.0,126606.155,0.0,0.0,15897.0,1967575.8,4.0,,,,,,2.14,3.4619222222222223,,,,,
AT,1990,3742066.656,44510.174,3405727.361,882724.023,1527125.875,995877.465,744855.4569999999,92525.326,542505.799,133926.739,62392.582,,,,921.4905699999999,25802.09632,226354.41829,264485.46124,34.79476,,,,,,,
AT,1991,4016793.161,47601.117,3689475.717,900421.964,1687923.179,1101130.576,764365.9299999999,98225.734,539235.92,160600.40600000002,77304.42599999999,,,,909.57867,25468.08264,236433.13694,274683.37897,35.32529,,,,,,,
AT,1992,3900486.764,44791.306,3567318.165,848839.054,1615881.94,1102597.176,747523.921,79964.452,534114.139,156587.381,72684.82800000001,,,,884.37349,24762.91818,218756.93839999998,254746.15166,33.75372,,,,,,,
AT,1993,3944023.881,48226.657,3627304.861,869843.89,1632405.9309999999,1125055.048,763967.765,92693.459,549330.258,172571.793,75837.454,,,,883.92304,24749.95523,218343.71559,254135.11123,33.82379,,,,,,,
AT,1994,3840431.432,46749.445,3533569.049,867302.39,1538075.915,1128190.742,773718.666,100535.922,543106.016,166047.863,84484.393,,,,851.68083,23847.1233,221358.31718,256583.96764,33.45342,,,,,,,
AT,1995,3979526.684,51682.342000000004,3692178.316,878787.796,1667888.197,1145502.323,823697.522,109010.058,576367.794,184592.643,88997.26,262309.7,262309.7,,847.2664199999999,23723.46977,228171.43349,264052.00822,34.21418,,,,,,,
AT,1996,4359044.775,55297.217000000004,4031800.1980000003,909828.555,1861993.924,1259977.716,805866.342,43150.515,619617.615,221480.455,120808.587,268121.9,268121.9,2.2,821.1203,22991.48852,247400.92377,282984.76206,34.76473,,,,,,,
AT,1997,4297158.571,55205.914000000004,3919164.862,994969.013,1730225.79,1193970.065,839582.819,36763.217,655626.8859999999,203850.741,114257.318,273875.4,273875.4,2.1,792.10131,22178.71656,237666.81939,272561.12884,35.045010000000005,,,,,,,
AT,1998,4391852.666,57384.428,4040686.261,963697.387,1733717.435,1343271.446,837183.836,37132.003000000004,652100.684,214278.357,127775.083,283441.5,283441.5,3.5,776.5758000000001,21744.19247,237394.46731,271623.96261,35.62559,,,,,,,
AT,1999,4420149.052,55087.646,4073622.805,960152.071,1802471.901,1310998.84,893385.376,38592.514,713918.427,217191.48,122748.065,294104.4,294104.4,3.8,762.48172,21349.98866,230746.23572,264447.05287,35.715680000000006,,,,,,,
AT,2000,4434424.677,54092.704,4066728.718,1014549.701,1687895.343,1364283.675,895283.38,40009.141,719720.075,216079.854,104666.671,303484.9,303484.9,3.2,744.57383,20848.05723,234455.04082,267511.78454,35.72569,,,,,,,
AT,2001,4700678.139,50453.666,4334639.202,1041490.9569999999,1823739.834,1469408.4170000001,919842.132,43903.495,736168.741,223841.674,122174.031,307481.7,307481.7,1.3,731.7109800000001,20488.13767,245694.09865,278642.1638,35.02499,,,,,,,
AT,2002,4745951.411,56674.253,4389726.842,1028940.205,1757634.55,1603152.0860000001,913211.671,61102.297,720564.054,218554.318,121795.246,312045.9,312045.9,1.5,718.8181,20127.217109999998,259927.84818,292735.17273,35.01498,,,,,,,
AT,2003,5043147.26,62704.72,4675137.166,1109723.3,1846930.6199999999,1718483.2510000002,888697.265,49472.185,714317.894,237519.536,137568.791,315608.1,315608.1,1.1,712.7920799999999,19958.038099999998,289241.91296,321975.87422,35.14511,,,,,,,
AT,2004,5068462.882999999,66648.28899999999,4715457.685,1171416.271,1802521.066,1741520.351,943241.89,54717.096,756133.785,255559.278,156668.079,323704.3,323704.3,2.6,710.6199100000001,19897.2774,285227.75281,316909.94335,31.16113,,,,,,,
AT,2005,5178627.1219999995,83800.66500000001,4843259.209,1243473.884,1799217.607,1800567.7310000001,978508.5650000001,57918.767,784307.8099999999,267325.403,154108.477,331215.4,331215.4,2.3,689.59891,19308.76948,289756.38691999996,320926.32572,31.301270000000002,32.71,,,,,,
AT,2006,5259743.663,83857.31,4844678.334,1274779.917,1803353.544,1766544.874,953386.6460000001,58064.573,754530.736,275690.734,159074.915,342043.9,342043.9,3.3,681.10042,19070.77172,285015.04031,315966.67102,31.51148,32.63,,,,,,
AT,2007,5127466.325,86456.712,4750874.982,1283378.567,1674476.237,1793020.188,959822.3809999999,62719.479,748978.4400000001,278684.566,157573.668,354956.9,354956.9,3.8,672.35168,18825.94714,271994.6229,302742.86042,31.19116,32.18,0.14537777777777777,,,,,
AT,2008,5113286.637,96468.547,4743005.456,1270334.354,1738197.314,1734473.787,978383.659,63414.322,766098.708,308343.451,176122.224,360115.5,360115.5,1.5,661.67101,18526.86836,266897.61098,297732.14471,32.332300000000004,32.46,0.14661666666666667,16.3,9.3,64.6,0.0,9.8
AT,2009,4984268.681,84613.22200000001,4602145.155,1225204.56,1688566.0320000001,1688374.569,996887.827,73516.124,781559.285,326115.93,177118.492,347200.8,347200.8,-3.6,653.90325,18309.52123,247526.79952,277434.98783,30.70067,30.65,0.15675,15.9,8.5,65.7,0.0,9.9
AT,2010,5216011.011,92476.57800000001,4842325.087,1299884.649,1798566.536,1743873.9070000001,1030938.126,102383.497,769139.3389999999,367238.411,188858.392,353481.6,353481.6,1.8,648.62798,18161.653510000004,261654.51312,291405.67456,29.559530000000002,32.86,0.1609722222222222,16.9,8.6,64.8,0.0,9.7
AT,2011,5011323.214,95399.362,4665791.673,1303077.3059999999,1683634.483,1679079.883,955022.012,84172.861,710495.147,367688.383,192582.97699999998,363829.6,363829.6,2.9,629.19857,17617.56997,253208.13517999998,282715.00257,30.20017,31.97,0.16338333333333332,17.7,8.6,63.8,0.0,9.9
AT,2012,5035489.645,93733.249,4648813.509,1301194.135,1684758.943,1662860.4309999999,1041862.089,89787.189,805115.953,391778.476,190770.95500000002,366115.4,366115.4,0.6,620.7201,17380.2629,244083.82999,273369.51642,29.97995,31.67,0.16435555555555556,18.2,8.2,63.9,0.0,9.7
AT,2013,5137374.954,93390.13500000001,4755984.567,1258905.349,1729070.2719999999,1768008.94,982436.902,81731.045,759918.8790000001,398370.49199999997,184605.178,365197.4,365197.4,-0.3,611.76115,17129.47236,248569.08075999998,277622.25491,29.76974,32.07,0.16550555555555554,18.5,8.1,63.4,0.0,10.0
AT,2014,4944160.261,86304.296,4553018.386,1224551.399,1572807.05,1755659.941,933808.2150000001,69084.37700000001,730338.289,370412.31,161692.5,367957.6,367957.6,0.8,596.20561,16693.8772,227653.01559,256448.68249,30.17014,30.8,0.16078333333333333,18.9,8.1,63.2,0.0,9.9
AT,2015,5074048.873,93931.764,4699200.813,1233417.535,1660623.664,1805159.619,938373.321,73974.44099999999,727006.576,391533.56299999997,178506.839,372754.0,372754.0,1.3,590.2897,16528.09158,242450.01781,271174.75385,30.36033,31.66,0.15887777777777778,19.2,8.0,63.0,0.0,9.7
AT,2016,5197460.891,90350.179,4809666.2930000005,1275425.155,1699847.317,1834393.81,980706.325,95346.796,747264.963,402309.022,184219.546,380646.0,380646.0,2.1,585.7751900000001,16401.425040000002,242382.20006,271319.80876,31.020989999999998,32.04,0.161,19.0,8.0,63.2,0.0,9.8
AT,2017,5236443.359,93097.485,4887569.351,1279379.95,1748202.007,1859987.393,1014830.382,77249.154,793185.1,418395.039,185487.109,389295.3,389295.3,2.3,584.3737900000001,16362.38604,254800.37583,283664.62124,30.56053,32.82,0.15458333333333335,20.1,8.0,62.3,0.0,9.6
AT,2018,5180404.122,88598.5,4792453.53,1259852.645,1647293.383,1885307.498,977716.415,83361.359,754768.78,396765.457,181990.923,398966.2,398966.2,2.5,565.31475,15829.10329,251441.53034,279860.86128,30.220190000000002,31.83,0.15701666666666667,21.7,7.1,61.5,0.0,9.7
AT,2019,5261828.17,87426.695,4819714.37,1255949.564,1678914.518,1884850.2829999998,1056554.543,87369.306,830011.779,396863.02499999997,188075.945,405968.0,405968.0,1.8,555.63508,15557.96242,259235.46649,287265.0781,30.10007,32.27,0.1631277777777778,22.9,6.9,60.6,0.0,9.6
AT,2020,4971061.128,84803.885,4536185.796,1206782.025,1685275.2,1644128.575,1027973.028,86126.512,804787.699,400379.718,179397.739,380317.9,380317.9,-6.3,548.53799,15359.1438,229563.57424,257114.54768999998,29.4294,29.85,0.1690611111111111,9.4,8.4,74.3,0.0,7.9
AT,2021,5277489.054,90733.15299999999,4826166.064,1250771.811,1873861.1439999999,1701533.108,998630.204,109661.3,710317.279,436295.59599999996,186304.616,398555.4,398555.4,4.8,553.8332800000001,15507.41192,237995.47772,265353.01793,29.88986,31.62,0.17688333333333334,11.8,7.8,72.1,0.0,8.2
AT,2022,4937188.142,84041.468,4565344.658,1269586.556,1682062.7280000001,1613695.369,968395.441,91878.955,693110.689,396308.368,172940.587,419590.7,419590.7,5.3,541.33079,15157.17203,225029.09429,251682.20077,28.94892,30.34,0.19362222222222222,20.7,7.5,61.8,0.0,10.0
AT,2023,4699245.944999999,77862.69099999999,4342113.612,1175821.783,1587822.689,1578469.142,1048018.2910000001,75390.147,755442.2119999999,381546.085,152722.528,415583.8,415583.8,-1.0,531.54101,14883.258389999999,214929.64493,240950.05935,28.29827,29.35,0.2503388888888889,23.0,7.3,59.2,0.0,10.5
BA,2014,624833.79,17898.54,597599.541,128231.329,254300.331,215067.88,291121.475,3523.8599999999997,280620.184,27988.345,7060.22,15417.8,30154.6,1.2,,,,,,5.94,0.1209611111111111,,,,,
BA,2015,670933.481,18885.713,642194.223,135885.41,282134.629,224174.182,281946.316,4123.668,269786.188,32571.494,8242.124,16078.3,31446.5,4.3,,,,,,6.11,0.12471666666666666,,,,,
BA,2016,706921.112,19098.773,689747.087,135010.305,294275.331,260461.456,306368.83,3973.7160000000003,295113.095,27383.07,7929.728,16599.6,32466.1,3.2,,,,,,6.69,0.12785,,,,,
BA,2017,695601.833,20187.362,681044.331,150695.662,258596.674,271751.998,287377.374,4292.36,274926.712,28063.84,9460.48,17138.1,33519.3,3.2,,,,,,6.69,0.12704444444444443,,,,,
BA,2018,852580.3740000001,18562.131999999998,830887.095,155903.793,405534.185,269449.119,326941.141,4086.1800000000003,314762.266,27854.272,9148.087,17794.4,34802.8,3.8,,,,,,7.38,0.12764999999999999,,,,,
BA,2019,851300.2509999999,17246.794,832414.0360000001,136217.889,408481.702,287714.449,296875.863,3936.228,285310.855,26982.157,8788.824,18307.9,35807.1,2.9,,,,,,7.14,0.1279611111111111,,,,,
BA,2020,826122.6510000001,17799.809999999998,803209.7490000001,111889.68400000001,430411.953,260908.11,292213.309,4179.9,281533.951,28209.624,9293.868,17755.9,34727.5,-3.0,,,,,,7.0,0.12958333333333333,,,,,
BA,2021,872050.9809999999,18340.855,852155.033,128487.809,424150.894,299516.337,312447.389,4273.616,300437.212,28895.6,9606.268,19068.3,37294.4,7.4,,,,,,7.28,0.12690555555555555,,,,,
BA,2022,874906.2760000001,20157.276,854215.072,122891.37,443817.904,287505.802,282171.244,4423.568,269715.897,27557.493000000002,9824.948,19874.3,38870.8,4.2,,,,,,7.22,0.12931666666666666,,,,,
BA,2023,840278.182,17934.022,819325.31,102341.35500000001,422915.56799999997,294068.381,287433.606,4179.9,275310.962,27372.654000000002,9205.356,20270.7,39646.0,2.0,,,,,,6.85,0.1233611111111111,,,,,
BE,1990,5944132.402,42257.411,5394420.883,1747458.98,2172020.024,1474941.88,893509.47,135982.585,709069.122,44171.909,42087.949,,,,1020.4394199999999,28572.423880000002,471015.39485000004,525166.37173,68.55849,,,,,,,
BE,1991,6351463.657,41639.799,5690147.835,1797613.564,2404468.11,1488066.156,905889.843,144651.656,713220.902,48199.255,45722.194,,,,1015.30429,28428.299899999998,485595.84073,539114.08551,68.00794,,,,,,,
BE,1992,6524206.632,41838.363000000005,5720907.237,1726811.958,2446540.518,1547554.759,902169.171,139539.246,712307.136,49465.774,47718.942,,,,1001.74074,28048.94092,480149.89022,534099.7261600001,65.7657,,,,,,,
BE,1993,6324706.103,43447.007,5628994.662,1616001.243,2428908.51,1584084.906,890852.519,133902.008,708900.4260000001,44908.653,43329.735,,,,985.10412,27583.015460000002,476948.06159,530483.8739199999,66.98692,,,,,,,
BE,1994,6856465.887,42892.118,5728827.123000001,1660870.6469999999,2442563.383,1625393.0860000001,919971.225,146254.262,723600.358,46914.516,45619.36,,,,980.01904,27440.82341,488726.35812,544653.23913,70.63056,,,,,,,
BE,1995,7053286.2129999995,44035.19,5869464.601,1673214.0019999999,2559414.973,1636835.6239999998,945238.054,147931.845,746678.833,45883.598,44697.784,314870.5,314870.5,,985.1141299999999,27583.18563,490996.05555,548877.2689400001,73.75368,,,,,,,
BE,1996,7463020.636,47126.911,6239853.81,1652409.4340000001,2923056.406,1664387.968,953991.471,146601.028,757812.731,48770.687,46586.498,319031.3,319031.3,1.3,972.972,27243.06585,505801.43614,563856.08279,76.66659000000001,,,,,,,
BE,1997,7414942.154,46441.454,6102796.919,1708184.7,2709410.165,1685202.053,964141.315,135439.01200000002,787648.3960000001,55295.918,53244.498,331134.3,331134.3,3.8,957.2563,26803.44667,482724.24199999997,534668.9347999999,74.84477000000001,,,,,,,
BE,1998,7593296.218,49844.715,6229075.257,1800395.541,2690908.324,1737771.384,1038610.98,40510.337,953696.255,60997.198,48721.22,337630.6,337630.6,2.0,938.8579199999999,26287.69143,506398.26237,556381.3955699999,74.99492000000001,,,,,,,
BE,1999,7559196.769,53456.169,6155693.859,1834779.163,2568579.5779999997,1752335.116,1016825.84,40679.032,931920.487,71115.02,65159.912,349591.9,349591.9,3.5,917.9870699999999,25703.51784,481330.78994,529476.89795,73.84377,,,,,,,
BE,2000,7740342.481,52894.296,6217930.586,1961207.946,2485449.162,1771273.479,1028873.506,60688.187,938494.922,91676.08,84908.738,362585.2,362585.2,3.7,885.22434,24786.041279999998,489301.96315,535740.68548,69.29923,,,,,,,
BE,2001,7915047.512,57113.419,6555042.846,2156400.307,2570038.471,1828604.071,968682.034,65500.693,876077.609,94697.238,87457.389,366572.2,366572.2,1.1,850.96011,23826.83303,486615.18906,531246.03532,66.75669,,,,,,,
BE,2002,7536407.001,54207.926,6183777.788000001,1900613.359,2460375.1859999998,1822789.243,992871.084,77131.307,894737.198,90905.495,87031.751,372829.2,372829.2,1.7,815.8550399999999,22843.941120000003,489896.94753999996,533022.30982,64.3643,,,,,,,
BE,2003,7899858.007999999,49278.126000000004,6440734.637,1919279.229,2653237.74,1868217.6630000002,1024407.764,90476.988,913410.847,92548.193,91236.122,376699.0,376699.0,1.0,775.04427,21701.34967,496221.66594,537243.71701,58.368309999999994,,,,,,,
BE,2004,7971011.636,47491.356999999996,6378286.875,1757569.503,2676775.601,1943941.766,1020759.884,99340.83,896282.3539999999,119020.492,110472.735,390151.7,390151.7,3.6,770.25949,21567.26572,497603.91681,539283.72498,59.91986,,,,,,,
BE,2005,7859778.677,48783.151,6301567.578,1757599.071,2656624.73,1887343.7820000001,1034411.4739999999,105570.639,902458.6349999999,131147.691,122074.712,399210.0,399210.0,2.3,753.2124600000001,21089.878810000002,486925.14871000004,528472.9450000001,57.43738,51.62,,,,,,
BE,2006,7532961.511,50160.521,6176635.856,1759062.418,2503049.852,1914523.593,1020377.522,129045.679,864172.698,136816.04,127902.774,409399.2,409399.2,2.6,744.99425,20860.10927,478746.20794,518575.99794000003,51.541489999999996,51.46,,,,,,
BE,2007,7243132.183,50376.376000000004,5941488.592,1661484.654,2309110.3,1970893.636,1057956.274,129932.232,894150.0460000001,113387.027,104484.04800000001,424452.5,424452.5,3.7,739.06833,20694.0734,467165.36867,506691.37519,48.16812,50.38,0.14225555555555555,,,,,
BE,2008,7869770.3889999995,50349.325,6221411.399,1630613.0320000001,2615415.59,1975382.777,1014309.09,130829.538,834767.842,124749.24,113414.88399999999,426349.4,426349.4,0.4,730.15943,20444.45403,463609.43629,503928.9255,48.71867,51.19,0.1712888888888889,7.4,13.3,72.6,0.0,6.6
BE,2009,7546831.222,49770.054,6085735.053,1645974.783,2494507.747,1945252.523,1101145.258,140170.073,895373.746,137281.38,129271.211,418221.3,418221.3,-1.9,726.86614,20351.931600000004,426250.64482,466019.49394,48.53849,50.08,0.15540555555555555,7.1,12.3,73.7,0.0,6.8
BE,2010,8117498.284,58698.521,6514567.085,1851364.689,2727809.957,1935392.436,1146427.987,140690.12600000002,912111.895,146550.003,131513.33,429556.4,429556.4,2.7,730.91018,20465.89545,450098.96932,491007.99748,52.83278,53.37,0.16269999999999998,7.4,11.4,74.3,0.0,6.9
BE,2011,7448016.279,55972.490999999995,5968738.908,1767642.072,2297444.009,1903652.829,1088821.304,130324.258,851040.392,142256.726,126433.979,437851.8,437851.8,1.9,699.9392399999999,19598.619039999998,409217.86906,447815.48812,44.25421,49.5,0.17642777777777777,8.0,11.7,73.1,0.0,7.1
BE,2012,7336374.114,57867.339,6036695.418,1770230.0150000001,2417664.367,1848801.0329999998,1021372.1799999999,134272.66999999998,758286.014,140480.869,125981.91500000001,438796.7,438796.7,0.2,697.60691,19532.693180000002,401881.29981999996,440490.33028,44.68464,47.07,0.18683333333333332,8.4,11.3,73.4,0.0,6.9
BE,2013,7758185.82,54441.734000000004,6220056.361,1816800.109,2588979.609,1814276.639,1011927.111,124244.663,750952.4519999999,128980.16,112498.25,440137.2,440137.2,0.3,689.50882,19306.34706,400249.46962,438372.87494,43.09305,48.63,0.18005,8.8,13.8,70.4,0.0,7.0
BE,2014,7514122.318,53614.835999999996,5784468.498,1790384.25,2148339.34,1845744.908,894315.459,105011.976,644747.893,120411.45,105270.769,447908.0,447908.0,1.8,669.75909,18753.11438,376094.44873,413961.92838,42.67263,45.24,0.18105555555555555,9.7,10.3,72.6,0.0,7.4
BE,2015,7758824.747,55862.385,6116976.617,1800139.0,2387458.002,1929379.615,894762.037,120723.145,626745.743,120268.527,105314.508,454510.9,454510.9,1.5,674.14347,18876.447590000003,393533.67053,431585.5544,42.011970000000005,45.66,0.19684444444444446,10.4,9.8,72.7,0.0,7.2
BE,2016,7683915.056,53731.74,6109971.226,1788907.519,2372513.525,1948550.181,1028522.992,122377.298,753236.867,118457.395,100658.462,459935.5,459935.5,1.2,670.7701,18781.6629,385753.98861999996,423749.37604999996,40.40036,48.45,0.21295555555555556,10.9,9.3,72.9,0.0,6.9
BE,2017,7619468.97,53469.102,6009538.589000001,1741172.842,2352431.935,1915933.811,1049075.2510000002,111103.29,770973.786,105616.882,87714.471,466717.1,466717.1,1.5,656.99634,18395.837460000002,384028.23459,421844.53311,40.56052,48.49,0.22793888888888889,11.6,9.0,72.3,0.0,7.0
BE,2018,7734227.101,54001.983,6070821.931,1798616.511,2346837.875,1925367.535,949887.057,117401.719,655635.775,112547.847,96364.54,475481.9,475481.9,1.9,650.1294800000001,18203.79561,387125.8391,424638.62441,39.50947,46.44,0.2306888888888889,12.0,9.0,71.2,0.0,7.8
BE,2019,7496726.587,50785.317,5896863.8040000005,1794209.913,2192095.785,1910558.099,1142196.472,99708.847,841354.465,98565.909,84642.287,487097.4,487097.4,2.4,645.4748299999999,18072.97492,388410.25223,424640.34613,38.688649999999996,48.4,0.22967777777777776,12.2,9.0,70.8,0.0,7.9
BE,2020,7127678.174,52915.520000000004,5607354.387,1737877.221,2196699.857,1672777.312,1121517.636,105248.148,798391.485,96893.534,82783.903,463750.9,463750.9,-4.8,634.01338,17752.514779999998,354245.43154,388670.13185,37.19716,43.85,0.22080555555555556,4.3,7.8,80.9,0.0,7.0
BE,2021,7611218.9290000005,51837.293,5969892.045,1814127.114,2309939.375,1845825.557,1201467.215,94825.113,881515.223,100660.023,86625.242,492538.7,492538.7,6.2,632.61198,17713.28559,367057.84115,399856.3569,36.70667,48.75,0.22866666666666666,4.7,7.8,80.9,0.0,6.6
BE,2022,6918181.43,45712.663,5525171.0649999995,1643725.169,2008935.8969999999,1872509.9989999998,1167787.171,94440.39600000001,840925.224,88841.191,75407.77500000001,513517.7,513517.7,4.3,608.58798,17040.54352,345068.11339,376083.03732999996,34.40437,45.22,0.34865555555555555,10.5,8.6,72.7,0.0,8.3
BE,2023,6832187.294,47499.275,5431336.236,1551706.624,1970290.561,1909339.049,1039679.853,84361.313,708204.088,77212.52799999999,66528.61200000001,519688.6,519688.6,1.2,604.13353,16915.55866,327790.74328,357629.62234999996,33.22319,42.05,0.3569555555555556,11.6,9.1,71.0,0.0,8.3
BG,1990,3193997.352,108390.671,2895236.209,1526919.253,874999.754,493317.201,626384.925,133222.54,430135.891,1030269.6699999999,213131.59399999998,,,,1162.0008400000002,32535.95345,309268.28933,358195.95812,61.83177,,,,,,,
BG,1991,2332908.459,109991.606,2117007.132,1141271.932,705454.595,270280.603,615775.855,170185.586,393271.251,887971.941,256164.551,,,,1059.69864,29671.391750000003,245677.64221,288066.54877,47.947900000000004,,,,,,,
BG,1992,1950557.4100000001,100986.963,1878220.059,921992.9720000001,661883.464,294343.623,535078.5160000001,111577.978,363299.694,697343.485,254571.31699999998,,,,1043.8428,29227.48829,230797.47691,270726.80634999997,40.3403,,,,,,,
BG,1993,2033755.709,90307.614,1834367.264,799962.851,706214.925,328189.487,556460.6630000001,126409.11799999999,377399.821,656846.165,205834.475,,,,957.04609,26797.42065,234564.46013,271146.21534,36.88685,,,,,,,
